date,open,high,low,close,volume
2024-04-11 04:00:00,22.65,22.91,22.25,22.84,26399380.0
2024-04-12 04:00:00,22.7,23.2,22.41,22.67,36764458.0
2024-04-15 04:00:00,22.79,23.13,21.83,21.9,38182078.0
2024-04-16 04:00:00,21.59,21.99,21.27,21.88,33869201.0
2024-04-17 04:00:00,22.01,22.11,21.22,21.31,30139797.0
2024-04-18 04:00:00,21.25,21.43,20.7,21.13,34550542.0
2024-04-19 04:00:00,20.98,21.43,20.33,20.47,39632591.0
2024-04-22 04:00:00,20.72,21.08,20.36,20.97,31894517.0
2024-04-23 04:00:00,21.25,22.06,21.23,21.64,36304634.0
2024-04-24 04:00:00,22.05,22.25,21.3,21.59,34426476.0
2024-04-25 04:00:00,20.82,21.7399,20.66,21.71,26226705.0
2024-04-26 04:00:00,22.05,22.67,21.91,22.52,33119766.0
2024-04-29 04:00:00,22.75,23.09,22.545,22.83,30330698.0
2024-04-30 04:00:00,22.77,22.87,21.95,21.97,30511879.0
2024-05-01 04:00:00,21.93,22.83,21.63,22.12,34812852.0
2024-05-02 04:00:00,22.6,22.715,22.1,22.55,30396133.0
2024-05-03 04:00:00,23.48,23.64,22.91,23.33,55976409.0
2024-05-06 04:00:00,24.37,25.355,24.03,25.21,175936565.0
2024-05-07 04:00:00,21.99,22.7,21.35,21.4,161061622.0
2024-05-08 04:00:00,21.58,21.73,21.06,21.56,67582882.0
2024-05-09 04:00:00,21.49,21.58,20.94,21.14,54101937.0
2024-05-10 04:00:00,21.27,21.37,20.5,20.6,59845413.0
2024-05-13 04:00:00,20.6,21.19,20.6,20.94,37524809.0
2024-05-14 04:00:00,20.95,22.07,20.93,21.44,57894354.0
2024-05-15 04:00:00,21.73,21.8099,21.185,21.67,39424029.0
2024-05-16 04:00:00,21.74,21.87,21.535,21.65,27416677.0
2024-05-17 04:00:00,21.78,22.1693,21.56,21.76,30032254.0
2024-05-20 04:00:00,21.77,21.77,21.22,21.62,35255258.0
2024-05-21 04:00:00,21.34,21.45,21.12,21.24,27953962.0
2024-05-22 04:00:00,21.23,21.42,21.08,21.17,25212469.0
2024-05-23 04:00:00,21.39,21.5198,20.63,20.72,36887627.0
2024-05-24 04:00:00,20.72,21.15,20.65,21.01,22158712.0
2024-05-28 04:00:00,21.06,21.22,20.73,21.05,26274188.0
2024-05-29 04:00:00,20.77,20.99,20.64,20.94,24834240.0
2024-05-30 04:00:00,21.28,21.96,21.02,21.73,47583129.0
2024-05-31 04:00:00,21.79,22.2,21.31,21.68,44416074.0
2024-06-03 04:00:00,21.7,21.79,21.005,21.32,33876070.0
2024-06-04 04:00:00,21.05,22.26,21.04,22.1,41974047.0
2024-06-05 04:00:00,22.48,22.98,22.22,22.96,39825392.0
2024-06-06 04:00:00,22.98,23.95,22.98,23.79,60400366.0
2024-06-07 04:00:00,23.24,23.57,23.06,23.31,37149877.0
2024-06-10 04:00:00,22.75,23.16,22.66,23.13,31509278.0
2024-06-11 04:00:00,23.06,23.95,22.89,23.85,30601852.0
2024-06-12 04:00:00,24.2,24.33,23.57,23.77,38542724.0
2024-06-13 04:00:00,23.85,24.14,23.15,23.27,26035051.0
2024-06-14 04:00:00,23.15,23.72,22.84,23.57,26618284.0
2024-06-17 04:00:00,23.47,25.06,23.45,25.02,54101503.0
2024-06-18 04:00:00,25.15,26.025,24.83,25.82,54458580.0
2024-06-20 04:00:00,26.44,26.57,25.155,25.56,66734955.0
2024-06-21 04:00:00,24.71,26.09,23.53,23.84,69981578.0
2024-06-24 04:00:00,23.44,24.3874,23.3,24.16,36477408.0
2024-06-25 04:00:00,24.16,24.63,23.9201,24.56,29657245.0
2024-06-26 04:00:00,24.47,24.66,24.025,24.1,24331377.0
2024-06-27 04:00:00,24.1,25.4,24.05,25.22,37882859.0
2024-06-28 04:00:00,25.28,25.57,25.03,25.33,38886441.0
2024-07-01 04:00:00,25.48,26.02,25.1421,25.88,33167921.0
2024-07-02 04:00:00,25.84,26.43,25.75,25.83,32148242.0
2024-07-03 04:00:00,25.96,26.27,25.76,25.85,18433843.0
2024-07-05 04:00:00,26.0,27.25,25.975,27.23,46703729.0
2024-07-08 04:00:00,27.93,27.986,26.84,27.7,59611163.0
2024-07-09 04:00:00,27.93,28.38,27.23,27.39,53226526.0
2024-07-10 04:00:00,27.5,28.47,27.37,28.42,43231028.0
2024-07-11 04:00:00,28.49,28.59,26.9,27.64,61546057.0
2024-07-12 04:00:00,27.32,28.13,27.28,28.07,30760268.0
2024-07-15 04:00:00,28.42,29.3,27.9,28.67,49186345.0
2024-07-16 04:00:00,28.18,28.84,27.47,28.67,59330683.0
2024-07-17 04:00:00,28.0,28.87,27.6,28.22,45203461.0
